codigo;descricao;unidade
6993446;LUMINARIA SOBREP 120CM ALETAS AL LAMP T8;UNI
7600549;LUMINARIA UFO LED SMD HIGH BAY 300W BIV;UNI
7000585;LUMINARIA UFO 300W 6500K LED HIGHBAY;UNI
6991363;LAMPADA LED TUBULAR T8-G13 HO 240CM 40W;UNI
6992077;LAMPADA TUBULAR LED 18W T8 6500K;UNI
6995286;LAMPADA LED BULBO 40W 6500K BR E27;UNI
7601605;LAMPADA LED BULBO 150W E40 6500K LUZ BR;UNI
6995357;LAMPADA LED 9W 3000K AM MORNA;UNI
7606393;LAMPADA TUBULAR LED T8 TUBULAR 9W 60CM;UNI
7606399;LAMPADA LED TUBULAR 20W 120CM;UNI
6996127;LAMPADA LED 65W 6500K T8-G13 TUB 240CM;UNI
6991642;MANDRIL P/FURADEIRA 13MM;UNI
6991430;JOELHO PVC C/JANELA 3/4 CINZA MASSTER;UNI
6994488;TOMADA BRANCA 10A 2P+T 250V;UNI
6994458;TOMADA REDONDA EMBUTIR 2P+T 10A 250V;UNI
7600590;TAMPA CONDULETE ALUM 3/4 1TOMADA REDONDA;UNI
6996615;TAMPA 3/4 CONDULETE+TOMADA RED 2P+T 20A;UNI
6990255;TOMADA DUPLA P/CONDULETE 2P+T 20A;UNI
7604006;DERIV T P/CANALETA 20X12MM BR SCHNEIDER;
6992090;BALANCIM PARAFUSADEIRA 0,5KG 1,5KG 1,2M;UNI
7604030;CONJ SISTEMA DESLIZ RO 80V 8002 P/PORTAS;UNI
7603989;TRILHO U21 ALUMINIO 2M RM021;UNI
7603932;PARAFUSO ALLEN INOX M8X55MM CILINDRICA;UNI
7605072;DISPLAY DIGITAL 24V CHICOTE;UNI
7607197;BATERIA 12V 20A 6-DZF-20 CHALWEE;UNI
6992598;CHAVE PHILLIPS TOCO 3/16X1.1/2POL;UNI
6997824;CANALETA LISA BRANCO 50X20X2000MM C/FITA;UNI
7601852;COLA TRAVA ROSCA MEDIO TORQUE;UNI
6993386;FORRO ISOPOR TEXTURIZADO 1250X625X20MM;UNI
7601860;FRASCO PLASTICO 60ML C/ TP ROSCA/VEDANTE;UNI
7601468;INTERRUPTOR P/ ESMERILHADEIRA;UNI
6997527;MANTA ASFALTICA AD AL VEDACIT 10X10M;UNI
6992091;MARTELETE PERF/ROMP 24MM 820W 220V;UNI
7603725;MACANETA P/PORTA CASA ZAMAC 105X85X85MM;UNI
7603798;PINCEL 1/2 POL. (SANDER);UNI
7606870;PLACA ISOPOR EPS 125X62,5CM;UNI
7606928;PLACA ISOPOR EPS 50X100CM;UNI
6992296;SILICONE PU 40 CINZA 360 G;UNI
7601413;SIFAO SANFONADO BRANCO 110X15X6CM(ABERT);UNI
6998468;SIFAO EXTENSIVEL UNIVERSAL LONGO PC 1.5M;UNI
6997363;ROLO LA SINTETICA PINTURA 23CM;UNI
6991576;ROLO ANTI-GOTA ATLAS ESPUMA 10 CM;UNI
6993691;TORNEIRA JARDIM DECA;UNI
7600552;TAMPA ASSENTO VASO SANIT OVAL UNIV BR;UNI
6998031;FECHADURA TUBULAR 90MM PRETA;UNI
7604098;OXIGENIO INDUSTRIAL P/MACARICO 7L/M3;UNI
7606552;VALVULA CILINDRO OXIGENIO 3/4POL NGT;UNI
7606025;MACARICO CORTE 1503 C/2 BICOS;UNI
7606501;BICO CORTE 25MM ACETILENO 1502-N6;UNI
7606527;BICO CORTE N8 127MM ACETILENO;UNI
7606523;BICO CORTE N12 300MM ACETILENO;UNI
7606561;VALVULA ANTI-RETROCESSO PAR B1533;UNI
7607616;DISCO DESBASTE DIAMANTADO 115MMXM14;UNI
7608046;CONJUNTO BROCA TITANIO UNIVERSAL 3-12MM 7 PECAS;UNI
7607800;ROLAMENTO PATINS LINEAR 413N20C0;UNI
7607569;PATINS P/GUIA LINEAR MGH 20C B0ARR400;UNI
7607088;PATINS P/GUIA LINEAR HG30 S/ABAS HGH30HA;UNI
6995823;ROLAMENTO LINEAR MGN 15-C-ZO-CM HIWIN;UNI
7603546;GUIA TRILHO LINEAR P/PATINSHIWIN HGR;UNI
7606710;SACO COLETOR PO PANO P/LIXADEIRA DWE6421;UNI
